location,lat,long
105 JURONG EAST ST 13,1.33738746800003,103.738527627
105 PASIR RIS ST 12,1.36843792100007,103.957538791
105 POTONG PASIR AVE 1,1.33442373200006,103.868696835
105 RIVERVALE WALK,1.38215613100004,103.900711925
105 TAMPINES ST 11,1.34809312500005,103.947177564
105 TECK WHYE LANE,1.37765002000003,103.752994303
105 TOWNER RD,1.32081304300004,103.861346714
105 WOODLANDS ST 13,1.43684476200002,103.781579113
105A EDGEFIELD PLAINS,1.39694133200004,103.905729497
105B EDGEFIELD PLAINS,1.39720646400002,103.90600228
105C EDGEFIELD PLAINS,1.39767203500003,103.905598768
105D EDGEFIELD PLAINS,1.39717530900003,103.905229593
106 ALJUNIED CRES,1.31905495000007,103.882900918
106 ANG MO KIO AVE 4,1.37193370300002,103.837486062
106 BEDOK RESERVOIR RD,1.32950152200004,103.909381689
106 BISHAN ST 12,1.34610070100007,103.847847191
106 BT BATOK CTRL,1.34822230900005,103.747188498
106 BT PURMEI RD,1.27298937000006,103.825626826
106 GANGSA RD,1.37790200000006,103.767412279
106 HENDERSON CRES,1.28899335600005,103.822345157
106 HOUGANG AVE 1,1.35370297100008,103.890680793
106 JALAN DUSUN,1.32855771200002,103.844796774
106 PASIR RIS ST 12,1.36801255000006,103.957653133
106 RIVERVALE WALK,1.38249729200004,103.900321342
106 SIMEI ST 1,1.34188521700003,103.950833481
106 TAMPINES ST 11,1.34753919200006,103.947675428
106 TECK WHYE LANE,1.37795798800005,103.752931631
106 TOWNER RD,1.32031702100005,103.858476083
106 WOODLANDS ST 13,1.43676943400004,103.782224173
106 YISHUN RING RD,1.43147861400007,103.827452004
106A DEPOT RD,1.28061365000002,103.810967871
106A PUNGGOL FIELD,1.39660486100007,103.908344134
106B DEPOT RD,1.28064950400005,103.810750914
106B PUNGGOL FIELD,1.39709453200004,103.907955363
106C PUNGGOL FIELD,1.39736664200007,103.90756223
107 ALJUNIED CRES,1.31896465300002,103.884287247
107 ANG MO KIO AVE 4,1.37138400100002,103.83738141
107 BEDOK NTH RD,1.33231740700006,103.936301267
107 BEDOK RESERVOIR RD,1.32987028900004,103.909220388
107 BISHAN ST 12,1.34641761400007,103.847920707
107 BT BATOK WEST AVE 6,1.34781088500006,103.746608758
107 BT PURMEI RD,1.27310165500006,103.824508572
107 JALAN BT MERAH,1.27986597600005,103.825525853
107 JALAN RAJAH,1.32785332700007,103.854993725
107 PASIR RIS ST 12,1.36750966700004,103.957518918
107 POTONG PASIR AVE 1,1.33470936900005,103.868413239
107 RIVERVALE WALK,1.38300501300006,103.900272454
107 SIMEI ST 1,1.34216114000003,103.950489942
107 TAMPINES ST 11,1.34836421800003,103.948158724
107 TOWNER RD,1.31979508600006,103.860435814
107 YISHUN RING RD,1.43221808100003,103.827520197
107B EDGEFIELD PLAINS,1.39683723500002,103.907248152
107C EDGEFIELD PLAINS,1.39662152100004,103.907600725
108 ALJUNIED CRES,1.31917515200007,103.885321594
108 ANG MO KIO AVE 4,1.37096635200004,103.83820194
108 BEDOK NTH RD,1.33274009200005,103.93622352
108 BEDOK RESERVOIR RD,1.33023192200005,103.909386968
108 BISHAN ST 12,1.34671498900002,103.847398358
108 BT BATOK WEST AVE 6,1.34744385300007,103.746502064
108 BT PURMEI RD,1.27335731400007,103.825345822
108 COMMONWEALTH CRES,1.30754732000003,103.799088583
108 GANGSA RD,1.37759685200007,103.767227214
108 HOUGANG AVE 1,1.35277393300004,103.890093177
108 JALAN BT MERAH,1.27922008800005,103.825441382
108 JURONG EAST ST 13,1.33838044400005,103.737282894
108 MCNAIR RD,1.32055419700004,103.859407707
108 POTONG PASIR AVE 1,1.33472004300006,103.867928446
108 RIVERVALE WALK,1.38281168600003,103.899782887
108 SIMEI ST 1,1.34301954100005,103.951007443
108 TAMPINES ST 11,1.34786646400005,103.948561616
108 WOODLANDS ST 13,1.43721908700007,103.781576753
108 YISHUN RING RD,1.43232355100002,103.829071971
108B MCNAIR RD,1.31998124400008,103.859005145
108C MCNAIR RD,1.31984417500007,103.859462495
109 ALJUNIED CRES,1.31939291800006,103.884439876
109 ANG MO KIO AVE 4,1.37009653800004,103.837687766
109 BEDOK NTH RD,1.33205316000004,103.934935102
109 BEDOK RESERVOIR RD,1.32963136600006,103.909902161
109 BISHAN ST 12,1.34675059600005,103.847990168
109 BT PURMEI RD,1.27392939900005,103.825310761
109 GANGSA RD,1.37736736500005,103.767748759
109 HOUGANG AVE 1,1.35532858900007,103.889376316
109 JALAN BT MERAH,1.27942671400007,103.826086916
109 LENGKONG TIGA,1.32458076200004,103.910697531
109 MCNAIR RD,1.32142037900007,103.859100345
109 PASIR RIS ST 11,1.36846368000005,103.95600907
109 SERANGOON NTH AVE 1,1.36943180400004,103.87051178
109 SIMEI ST 1,1.34225792800004,103.950128354
109 TAMPINES ST 11,1.34740780700002,103.948811828
109 WHAMPOA RD,1.32714817600004,103.855700914
109 YISHUN RING RD,1.43279905700007,103.828646181
109A DEPOT RD,1.28095771300002,103.809440154
109B DEPOT RD,1.28099937200005,103.80922528
109B EDGEDALE PLAINS,1.39495696200004,103.909634231
109C EDGEDALE PLAINS,1.39517272000006,103.909281606
10B LOR 7 TOA PAYOH,1.33716136400005,103.858353639
11 CANTONMENT CL,1.27442604700002,103.839671514
11 CHAI CHEE RD,1.32691137500007,103.924883893
11 EUNOS CRES,1.32173455700007,103.903794179
11 FARRER PK RD,1.31236768200006,103.852109307
11 HAIG RD,1.31483627000006,103.896637295
11 HOLLAND DR,1.30905394500007,103.794063121
11 JALAN BATU,1.30169639100006,103.882578686
11 LOR 8 TOA PAYOH,1.33723344300006,103.858841063
11 PINE CL,1.30852902700002,103.882952629
11 ST. GEORGE'S RD,unknown,unknown
11 TECK WHYE LANE,1.37976221100007,103.754969354
11 TOH YI DR,1.33800261200003,103.772603272
110 ALJUNIED CRES,1.31997674700006,103.884439316
110 ANG MO KIO AVE 4,1.37045937000005,103.83741926
110 BEDOK NTH RD,1.33247206400006,103.934860476
110 BEDOK RESERVOIR RD,1.33014480400004,103.910318002
110 BISHAN ST 12,1.34740957000002,103.848054589
110 BT MERAH VIEW,unknown,unknown
110 BT PURMEI RD,1.27380415700003,103.8270577
110 COMMONWEALTH CRES,1.30679892400002,103.798657169
110 GANGSA RD,1.37786372100004,103.768139169
110 HOUGANG AVE 1,1.35480542400006,103.889614585
110 JURONG EAST ST 13,1.33887088900002,103.736218505
110 LENGKONG TIGA,1.32365345200003,103.910853623
110 PASIR RIS ST 11,1.36877568700004,103.956300376
110 RIVERVALE WALK,1.38349233500003,103.900312363
110 SERANGOON NTH AVE 1,1.36938537100002,103.871409305
110 SIMEI ST 1,1.34275276800003,103.95019519
110 TAMPINES ST 11,1.34694662200008,103.949306963
110 TECK WHYE LANE,1.37823695300006,103.752208326
110 WHAMPOA RD,1.32682122600005,103.855890715
110 WOODLANDS ST 13,1.43759760000006,103.781575573
110 YISHUN RING RD,1.43376057900002,103.828993389
110A PUNGGOL FIELD,1.39612400300007,103.909283681
110B PUNGGOL FIELD,1.39566023900005,103.909627012
110C PUNGGOL FIELD,1.39539733200007,103.910033985
111 ALJUNIED CRES,1.32039727600005,103.884246841
111 ANG MO KIO AVE 4,1.37085149000006,103.837298157
111 BEDOK NTH RD,1.33145574000002,103.935458644
111 BEDOK RESERVOIR RD,1.32980763700004,103.910093553
111 BISHAN ST 12,1.34706752700004,103.848063665
111 BT MERAH VIEW,unknown,unknown
111 BT PURMEI RD,1.27439718100004,103.82723961
111 EDGEFIELD PLAINS,1.39667788600002,103.906579135
111 GANGSA RD,1.37816747400007,103.768365654
111 HO CHING RD,1.33388939600007,103.723306119
111 HOUGANG AVE 1,1.35498576500004,103.88855746
111 LENGKONG TIGA,1.32405877800005,103.911303763
111 LOR 3 GEYLANG,1.31234800500005,103.87374784
111 MCNAIR RD,1.32130398800007,103.858272728
111 RIVERVALE WALK,1.38439716700003,103.900811577
111 SERANGOON NTH AVE 1,1.36904992300003,103.870583972
111 TAMPINES ST 11,1.34691471400004,103.947416465
111 TECK WHYE LANE,1.37787904600003,103.75210367
111 WHAMPOA RD,1.32612552900002,103.855672661
111 YISHUN RING RD,1.43321264000002,103.828617498
111A DEPOT RD,1.28112269300004,103.808687896
111B DEPOT RD,1.28116510100006,103.80847176
112 ALJUNIED CRES,1.32041804700003,103.885098713
112 ANG MO KIO AVE 4,1.37127865100007,103.835766566
112 BEDOK NTH RD,1.33104907800004,103.935538768
112 BEDOK RESERVOIR RD,1.32969408800005,103.910490219
112 BISHAN ST 12,1.34681029800004,103.849041061
112 BT BATOK WEST AVE 6,1.34817353400007,103.745025213
112 BT PURMEI RD,1.27452852600004,103.825932928
112 COMMONWEALTH CRES,1.30661660800007,103.798183842
112 EDGEFIELD PLAINS,1.39624516900005,103.907087268
112 HO CHING RD,1.33388558100006,103.723688446
112 HOUGANG AVE 1,1.35442181100007,103.888557768
112 JURONG EAST ST 13,1.33920981500006,103.735824423
112 LENGKONG TIGA,1.32348906500005,103.911407841
112 LOR 3 GEYLANG,1.31210823500004,103.873783661
112 MCNAIR RD,1.32101349500005,103.858982397
112 PASIR RIS ST 11,1.36770577400006,103.955796374
112 PENDING RD,1.37855560400004,103.768748799
112 RIVERVALE WALK,1.38345976600004,103.901383675
112 SERANGOON NTH AVE 1,1.36920207800006,103.871591172
112 SIMEI ST 1,1.34310958400005,103.949559596
112 TAMPINES ST 11,1.34629813600003,103.947509806
112 TECK WHYE LANE,1.37748545100004,103.751921303
112 WHAMPOA RD,1.32656461800002,103.856747548
112 YISHUN RING RD,1.43416864500006,103.829054979
112A DEPOT RD,1.28147636200003,103.808148105
112B DEPOT RD,1.28156873900002,103.807731657
113 ANG MO KIO AVE 4,1.37178517600006,103.835965695
113 BEDOK RESERVOIR RD,1.32996671000006,103.910782527
113 BISHAN ST 12,1.34723185100006,103.848808989
113 BT BATOK WEST AVE 6,1.34936750200006,103.745347359
113 BT PURMEI RD,1.27477012500003,103.826932268
113 CLEMENTI ST 13,1.32370061900002,103.769671093
113 COMMONWEALTH CRES,1.30674648100006,103.797955729
113 HOUGANG AVE 1,1.35356905300006,103.888705665
113 JURONG EAST ST 13,1.33879791400005,103.734807725
113 LENGKONG TIGA,1.32345184100006,103.911904887
113 LOR 3 GEYLANG,1.31179784700004,103.87385249
113 PASIR RIS ST 11,1.36805525900007,103.955767151
113 PENDING RD,1.37838181800004,103.769359494
113 POTONG PASIR AVE 1,1.33605593900006,103.863599508
113 RIVERVALE WALK,1.38382950500005,103.901693535
113 SERANGOON NTH AVE 1,1.36876791500003,103.870485946
113 SIMEI ST 1,1.34285425600007,103.949880408
113 TAMPINES ST 11,1.34647851700004,103.946176771
113 TECK WHYE LANE,1.37793931800007,103.750915389
113 WHAMPOA RD,1.32583330400007,103.85717932
113 WOODLANDS ST 13,1.43801404500005,103.781228919
113 YISHUN RING RD,1.43513580200005,103.828873241
114 ANG MO KIO AVE 4,1.37257962500007,103.836220813
114 BISHAN ST 12,1.34754941500006,103.848880516
114 BT BATOK WEST AVE 6,1.34883662900006,103.746021679
114 BT PURMEI RD,1.27507181900006,103.82588719
114 EDGEFIELD PLAINS,1.39579971800003,103.907555599
114 HOUGANG AVE 1,1.35290845800006,103.888972338
114 JURONG EAST ST 13,1.33921386500003,103.734609974
114 LENGKONG TIGA,1.32313486100003,103.912045711
114 LOR 3 GEYLANG,1.31242833400006,103.874441416
114 PASIR RIS ST 11,1.36845058400007,103.954961425
114 PENDING RD,1.37785558500002,103.769840359
114 POTONG PASIR AVE 1,1.33677492900006,103.863306371
114 RIVERVALE WALK,1.38409456700003,103.901075631
114 SERANGOON NTH AVE 1,1.36884885600006,103.871491437
114 SIMEI ST 1,1.34384910500006,103.950437526
114 TAMPINES ST 11,1.34597162500006,103.946759997
114 TECK WHYE LANE,1.37850799200004,103.750707442
114 WHAMPOA RD,1.32539594100007,103.857487441
114 YISHUN RING RD,1.43413792600006,103.827020313
115 BEDOK NTH RD,1.33165671400008,103.937191479
115 BISHAN ST 12,1.34791838900003,103.848750125
115 BT PURMEI RD,1.27535201400002,103.826950181
115 HOUGANG AVE 1,1.35276525800003,103.887876085
115 JURONG EAST ST 13,1.33979148800006,103.735502766
115 LENGKONG TIGA,1.32297309900002,103.911228144
115 MARSILING RISE,1.43828115400004,103.78096695
115 PASIR RIS ST 11,1.36892657000004,103.954870571
115 PENDING RD,1.37801437700006,103.769205202
115 POTONG PASIR AVE 1,1.33726999800007,103.862806558
115 RIVERVALE WALK,1.38443729900007,103.901309871
115 SERANGOON NTH AVE 1,1.36814036400006,103.870567248
115 TECK WHYE LANE,1.37893678000006,103.751182369
115 WHAMPOA RD,1.32626270900005,103.857341315
115 YISHUN RING RD,1.43456484500007,103.827973678
115A YISHUN RING RD,1.43331769000002,103.827515444
115B YISHUN RING RD,1.43339605600005,103.82711777
115C YISHUN RING RD,1.43378416400003,103.827489711
116 BEDOK NTH RD,1.33100823500007,103.938066839
116 BEDOK RESERVOIR RD,1.33103784600007,103.908641635
116 BISHAN ST 12,1.34780072000007,103.849316087
116 BT BATOK WEST AVE 6,1.34962866500007,103.746381073
116 EDGEFIELD PLAINS,1.39541568000004,103.906912211
116 HOUGANG AVE 1,1.35313872000006,103.887727361
116 LENGKONG TIGA,1.32278533100003,103.911863013
116 PENDING RD,1.37717209000004,103.768616764
116 POTONG PASIR AVE 1,1.33682600100002,103.862613325
116 SERANGOON NTH AVE 1,1.36849213900007,103.871586534
116 SIMEI ST 1,1.34358452900005,103.951127774
116 TECK WHYE LANE,1.37898192300003,103.751779492
116 YISHUN RING RD,1.43502750200003,103.828134901
116A RIVERVALE DR,1.38246038100004,103.902238675
116B RIVERVALE DR,1.38205991500007,103.90235541
116C RIVERVALE DR,1.38215510000003,103.902852237
117 ANG MO KIO AVE 4,1.37371708300003,103.835610469
117 BEDOK NTH RD,1.33065454800004,103.938496276
117 BEDOK RESERVOIR RD,1.33141324900004,103.908688937
117 CLEMENTI ST 13,1.32446058200003,103.771184564
117 EDGEFIELD PLAINS,1.39578735200007,103.906617809
117 PASIR RIS ST 11,1.36789487700003,103.954721651
117 PENDING RD,1.37730128100003,103.767979336
117 POTONG PASIR AVE 1,1.33600825300005,103.86302085
117 SERANGOON NTH AVE 1,1.36797106000006,103.870862444
117 SIMEI ST 1,1.34458555100002,103.951315573
117 TECK WHYE LANE,1.37958915600007,103.751272002
117 YISHUN RING RD,1.43555874700007,103.827699051
117A RIVERVALE DR,1.38317691800006,103.902596602
117B RIVERVALE DR,1.38358691200006,103.902524354
117C RIVERVALE DR,1.38335262500004,103.90322141
118 ANG MO KIO AVE 4,1.37329593600003,103.835475719
118 BEDOK NTH ST 2,1.33043386000003,103.93748167
118 BEDOK RESERVOIR RD,1.33110238900002,103.909146614
118 BISHAN ST 12,1.34660370400007,103.849915298
118 BT BATOK WEST AVE 6,1.35000951600006,103.74649958
118 CLEMENTI ST 13,1.32491798700005,103.771891149
118 EDGEFIELD PLAINS,1.39620706600004,103.906147061
118 PASIR RIS ST 11,1.36714920000003,103.954805268
118 PENDING RD,1.37680420300006,103.768463737
118 POTONG PASIR AVE 1,1.33548147400006,103.862653752
118 SERANGOON NTH AVE 1,1.36758581100003,103.870909695
118 TECK WHYE LANE,1.37951848700004,103.750002789
118 YISHUN RING RD,1.43598707800004,103.828641483
118A JALAN MEMBINA,1.28142028200006,103.825645216
118B JALAN MEMBINA,1.28178928000005,103.825989641
118C JALAN MEMBINA,1.28216937100007,103.826333715
118D JALAN MEMBINA,1.28268105100005,103.826583442
119 ANG MO KIO AVE 3,1.36956344300006,103.844698911
119 BEDOK NTH RD,1.33018552000004,103.938716614
119 BEDOK RESERVOIR RD,1.33106966800005,103.909465489
119 BT BATOK WEST AVE 6,1.35042197700005,103.746803583
119 HOUGANG AVE 1,1.35400776900002,103.887748412
119 MARSILING RISE,1.43882853200006,103.780322976
119 MCNAIR RD,1.31971525400007,103.856870419
119 PASIR RIS ST 11,1.36752490300006,103.954781394
119 PENDING RD,1.37653754500008,103.769042226
119 POTONG PASIR AVE 1,1.33456149700004,103.862943045
119 SIMEI ST 1,1.34375761500007,103.951897831
119 TECK WHYE LANE,1.37921555500003,103.750399424
119 YISHUN RING RD,1.43539299500003,103.829177148
119A RIVERVALE DR,1.38417530500004,103.903383603
119B KIM TIAN RD,1.28115558500002,103.82726656
119B RIVERVALE DR,1.38436210900005,103.902965031
119C KIM TIAN RD,1.28148915100007,103.827671952
119C RIVERVALE DR,1.38496373900006,103.903254582
119D KIM TIAN RD,1.28194598400006,103.827911094
119D RIVERVALE DR,1.38530593000007,103.903609872
12 CANTONMENT CL,1.27447616000006,103.840070253
12 FARRER PK RD,1.31198113100004,103.851638487
12 HOLLAND AVE,1.30935284700007,103.794873297
12 JALAN BT MERAH,1.28753116500008,103.807020232
12 JOO SENG RD,1.33585385500004,103.878932706
12 KG ARANG RD,1.30082885500002,103.883694826
12 PINE CL,1.30847854500007,103.882287786
12 SHORT ST,unknown,unknown
12 ST. GEORGE'S RD,unknown,unknown
12 TOH YI DR,1.33840275000006,103.772685802
120 ANG MO KIO AVE 3,1.37004739700006,103.844594755
120 BEDOK NTH ST 2,1.32997311200006,103.937571702
120 BEDOK RESERVOIR RD,1.33089247200007,103.909920867
120 BISHAN ST 12,1.34725137800007,103.850848308
120 BT MERAH VIEW,1.28277443200005,103.822612454
120 GEYLANG EAST CTRL,1.31821153100003,103.884752333
120 HOUGANG AVE 1,1.35441882600003,103.88746189
120 KIM TIAN PL,1.28345133800002,103.827466124
120 MARSILING RISE,1.43918123000003,103.780841083
120 MCNAIR RD,1.31947022400004,103.857035802
120 PENDING RD,1.37705460200004,103.769444069
120 POTONG PASIR AVE 1,1.33545353200003,103.86338798
120 SERANGOON NTH AVE 1,1.36727586800004,103.871075579
120 SIMEI ST 1,1.34488867600004,103.953241349
120 YISHUN RING RD,1.43482138800005,103.829347801
120A KIM TIAN PL,1.28324650300004,103.827854745
120A RIVERVALE DR,1.38593215500003,103.903984342
120B RIVERVALE DR,1.38579818200003,103.904394269
120C RIVERVALE DR,1.38526244600007,103.904005046
121 ANG MO KIO AVE 3,1.36970563500006,103.843515981
121 BEDOK NTH RD,1.32964201800007,103.938821071
121 BEDOK RESERVOIR RD,1.33130517800004,103.909992225
121 BISHAN ST 12,1.34718667800007,103.851049225
121 HOUGANG AVE 1,1.35386059300004,103.886936534
121 KIM TIAN PL,1.28270270200005,103.828491163
121 LOR 2 TOA PAYOH,1.33916262300005,103.84624354
121 MCNAIR RD,1.31896794000005,103.856341995
121 PASIR RIS ST 11,1.36686954700002,103.954504704
121 PAYA LEBAR WAY,1.32192501600002,103.882860356
121 PENDING RD,1.37720047800002,103.769852814
121 POTONG PASIR AVE 1,1.33576029200003,103.865596997
121 RIVERVALE DR,1.38700727200006,103.90478871
121 SERANGOON NTH AVE 1,1.36693542200004,103.871284722
121 TECK WHYE LANE,1.37830357100006,103.750108107
121 YISHUN ST 11,1.43436897700002,103.830142952
121A KIM TIAN PL,1.28265068100006,103.828178493
121A RIVERVALE DR,1.38669088300003,103.90511188
121B RIVERVALE DR,1.38635282100006,103.904834772
121C SENGKANG EAST WAY,1.38629426600005,103.9053807
121D SENGKANG EAST WAY,1.38579521100007,103.905413959
